Date,Confirmed,Deaths,Recovered,Active,Daily_Confirmed,Daily_Deaths,Daily_Recovered,MA_7_Confirmed,MA_14_Confirmed,Mortality_Rate,Recovery_Rate,Active_Rate,Growth_Rate,Growth_Rate_MA
2022-07-12,43669850,525519,0,43144331,16906.0,45.0,0.0,17953.85714285714,17958.0,1.203390897839127,0.0,98.79660910216087,0.28024601651026604,0.2736453821214172
2022-07-13,43689989,525557,0,43164432,20139.0,38.0,0.0,18278.285714285714,18133.5,1.2029231685089232,0.0,98.79707683149108,0.28289930077163294,0.2763908867201697
2022-07-14,43710027,525604,0,43184423,20038.0,47.0,0.0,18315.0,18427.785714285714,1.2024792389169652,0.0,98.79752076108304,0.28558315445526006,0.2789611149532277
2022-07-15,43730071,525660,0,43204411,20044.0,56.0,0.0,18588.285714285714,18679.35714285714,1.2020561320378371,0.0,98.79794386796218,0.288220953145224,0.28134896023493156
2022-07-16,43750599,525709,0,43224890,20528.0,49.0,0.0,18832.571428571428,18863.0,1.2016041197515948,0.0,98.7983958802484,0.2933063375721856,0.28377029670619675
2022-07-17,43767534,525760,0,43241774,16935.0,51.0,0.0,19248.428571428572,19007.428571428572,1.2012557070270398,0.0,98.79874429297296,0.2937831605980934,0.28609613919562243
2022-07-18,43783062,525785,0,43257277,15528.0,25.0,0.0,19576.85714285714,19020.85714285714,1.2008867721494672,0.0,98.79911322785053,0.29807382521553905,0.28887324975260015
2022-07-19,43801678,525821,0,43275857,18616.0,36.0,0.0,19772.14285714286,19107.64285714286,1.2004585760390274,0.0,98.79954142396097,0.3018741763482158,0.29196298687230726
2022-07-20,43824728,525866,0,43298862,23050.0,45.0,0.0,19736.571428571428,19208.14285714286,1.19992986607926,0.0,98.80007013392074,0.3083978803473775,0.2956056410974136
2022-07-21,43847065,525930,0,43321135,22337.0,64.0,0.0,19726.714285714286,19238.0,1.1994645479691743,0.0,98.80053545203083,0.3135161641515394,0.29959607105402497
2022-07-22,43868476,525997,0,43342479,21411.0,67.0,0.0,19627.0,19264.5,1.1990318514826,0.0,98.8009681485174,0.31649845709145197,0.30363571447491466
2022-07-23,43888755,526033,0,43362722,20279.0,36.0,0.0,19583.714285714286,19290.5,1.1985598588977975,0.0,98.8014401411022,0.31578081936660674,0.30684635473126054
2022-07-24,43905621,526074,0,43379547,16866.0,41.0,0.0,19227.571428571428,19229.428571428572,1.1981928236477968,0.0,98.80180717635221,0.3155009829888922,0.3099489007870889
2022-07-25,43920451,526110,0,43394341,14830.0,36.0,0.0,18952.14285714286,19195.785714285714,1.1978702131269099,0.0,98.8021297868731,0.31379486432447923,0.31219476351693753
2022-07-26,43938764,526167,0,43412597,18313.0,57.0,0.0,18808.85714285714,19067.64285714286,1.1975006852718932,0.0,98.80249931472811,0.31296974513168596,0.313779844771719
2022-07-27,43959321,526212,0,43433109,20557.0,45.0,0.0,18722.285714285714,18961.85714285714,1.1970430571482211,0.0,98.80295694285178,0.30711656670179277,0.3135967999652069
